genre	artist_id	artist_name	all_genres	popularity	follower_count	track_id	track_name	track_popularity	track_length	track_danceability	track_energy	track_key	track_loudness	track_mode	track_speechiness	track_acousticness	track_instrumentalness	track_liveness	track_valence	track_tempo	track_type	track_duration	track_time_signature
k-pop	6aLdhHUqgdKE86xbtNmY8g	Crush	k-indie; k-pop; korean pop; korean r&b	65	298667	1TM0n3pwhDOPZhmhDRpOLS	Don’t Forget	58	219106	0.646	0.628	5	-5.81	1	0.0337	0.451	0	0.198	0.261	93.897	audio_features	219107	4
k-pop	3qNVuliS40BLgXGxhdBdqu	TAEYEON	k-pop; korean pop	65	555701	1ukyvyEeSg1odSQvhlRAIU	Rain	53	222047	0.567	0.687	8	-3.269	1	0.0329	0.538	1.29e-5	0.0883	0.406	76.024	audio_features	222047	4
k-pop	5TnQc2N1iKlFjYD7CPGvFc	Day6	k-pop; korean pop	67	435460	1uszVo0bVPALn32ix2kJ9e	Shoot Me	67	175836	0.583	0.916	1	-1.396	1	0.149	0.0683	0	0.0489	0.732	167.933	audio_features	175837	4
k-pop	3paGCCtX1Xr4Gx53mSeZuQ	NCT U	k-pop	64	771747	1VLEqquT268Ke46e5DZ1dH	일곱 번째 감각 The 7th Sense (Sung by TAEYONG, MARK, JAEHYUN, DOYOUNG, TEN)	52	214035	0.682	0.502	2	-9.507	1	0.0713	0.0124	8.45e-6	0.107	0.218	108.08	audio_features	214035	4
k-pop	5RR0MLwcjc87wjSw2JYdwx	MOMOLAND	k-pop	68	719478	1WbEK3tM3TO10HoHtaZjls	Same Same	49	198880	0.76	0.932	0	-2.04	0	0.056	0.296	9.13e-5	0.18	0.528	124.018	audio_features	198881	4
k-pop	5na1LmEmK2VzNLje9snJYW	The Rose	k-pop; korean pop	59	192898	1WvAdtjJOBv0pAR5yKr2ov	BABY	56	173599	0.647	0.804	11	-5.416	0	0.13	0.0337	0	0.119	0.516	121.799	audio_features	173600	4
k-pop	2JhAlkmukNvarUpGhTFXUQ	KARD	k-pop	61	702916	1ZgfAxHQCXLt8o1VXEHHAt	Oh NaNa (Hidden. HUR YOUNG JI)	60	206772	0.756	0.922	1	-2.683	1	0.053900000000000003	0.0615	4.62e-4	0.0723	0.809	100.005	audio_features	206773	4
k-pop	3Nrfpe0tUJi4K4DXYWgMUX	BTS	k-pop	91	7553232	1ZPpGPko8oULTmi34rozMh	Trivia 轉 : Seesaw	75	246334	0.707	0.791	5	-4.481	0	0.035	0.181	0	0.102	0.678	106.985	audio_features	246334	4
k-pop	5dCvSnVduaFleCnyy98JMo	HEIZE	k-indie; k-pop; korean pop; korean r&b	60	174028	1Zv6zo71iDXH07Lin7hxMg	Don't know you	60	189410	0.699	0.562	4	-5.573	0	0.253	0.213	0	0.42	0.471	104.995	audio_features	189410	4
k-pop	4o7tWrzQOqarDtTMWD2HV9	LAY	chinese electropop; k-pop	72	208274	1zwSJRvfYnGiY1CqXwLQUQ	Lay U Down	53	186600	0.47	0.701	0	-5.441	0	0.258	0.0715	0	0.102	0.651	135.918	audio_features	186601	4
k-pop	41MozSoPIsD1dJM0CLPjZF	BLACKPINK	k-pop	84	4054149	1Zyd6zQnC6XIIzmg3hP7Ot	As If It's Your Last	77	213264	0.786	0.853	8	-2.687	1	0.0816	0.0688	0	0.0759	0.45	125.034	audio_features	213264	4
k-pop	6gzXCdfYfFe5XKhPKkYqxV	SUPER JUNIOR	k-pop; korean pop	69	979619	1Zz7lQOhWPYh8dNQCwVkdG	One More Time (Otra Vez)	67	186468	0.685	0.841	5	-3.975	1	0.0327	0.0408	5.28e-5	0.274	0.486	99.981	audio_features	186468	4
k-pop	7kAYwEKDbUNlUJh4yxjW3o	Agust D	k-pop	60	786945	2241mgLB8g6UVHLS0PULye	Interlude_dream, Reality	52	92685	0.595	0.255	1	-10.061	1	0.0454	0.641	0.873	0.101	0.077	150.108	audio_features	92685	4
k-pop	5WY88tCMFA6J6vqSN3MmDZ	NELL	k-indie; korean pop	60	18228	22ideJeof2le38R85diQT6	TODAY	34	255569	0.533	0.716	5	-4.795	1	0.0384	0.233	0.0254	0.218	0.382	169.839	audio_features	255570	4
k-pop	2JhAlkmukNvarUpGhTFXUQ	KARD	k-pop	61	702916	22iz04Hw1tz0NBpiyoEMT1	RUMOR	57	217746	0.726	0.758	8	-3.343	1	0.178	0.0488	0	0.0881	0.609	88.992	audio_features	217747	4
k-pop	6gzXCdfYfFe5XKhPKkYqxV	SUPER JUNIOR	k-pop; korean pop	69	979619	23z7nLq4CD83EyzeeIokkt	Mamacita (아야야)	57	207743	0.716	0.928	7	-0.005	1	0.084	0.0777	0	0.0702	0.697	101.564	audio_features	207744	4
k-pop	0siBQaURCli5wn2lqv8WZg	DPR LIVE	k-hop; k-pop; korean pop; korean r&b	59	113116	24oBQMb4RRaqrCkoEsGU25	Cheese & Wine	53	193974	0.642	0.754	1	-5.66	0	0.234	0.0315	0	0.271	0.706	149.973	audio_features	193974	4
k-pop	1gBUSTR3TyDdTVFIaQnc02	NCT DREAM	k-pop	65	676416	24PhZrRiALtUXgdwXkEwGt	마지막 첫사랑 My First and Last	55	201980	0.799	0.899	2	-3.945	1	0.131	0.018	0	0.0801	0.589	108.051	audio_features	201980	4
k-pop	1gBUSTR3TyDdTVFIaQnc02	NCT DREAM	k-pop	65	676416	26vOBLHS116a4WNUVlvAUW	We Go Up	70	183293	0.893	0.77	8	-4.692	1	0.107	0.0138	0	0.225	0.349	122.067	audio_features	183293	4
k-pop	5qRSs6mvI17zrkJpOHkCoM	iKON	k-pop	74	1092967	27kB4qLUCV8nZd2eOgj1Tk	KILLING ME	76	193733	0.76	0.672	9	-5.277	0	0.0732	0.465	0	0.205	0.505	127.986	audio_features	193734	4
k-pop	1wKpMkucynaTfG8lyPprYV	PENTAGON	k-pop	66	350023	27urPq4di74NefAzywyQy7	Critical Beauty	52	196923	0.777	0.756	5	-3.359	0	0.0793	0.111	0	0.463	0.658	93.987	audio_features	196923	4
k-pop	2e4G04F77jxVuDYo44TCSm	Loco	k-hop; k-pop; korean pop; korean r&b	63	69907	27zrFrtUtWl2urlvjOn5xc	Say Yes	60	218897	0.685	0.777	1	-4.654	0	0.063	0.353	0	0.329	0.417	95.049	audio_features	218897	4
k-pop	6aLdhHUqgdKE86xbtNmY8g	Crush	k-indie; k-pop; korean pop; korean r&b	65	298667	28rrN7Ld05dEpnzfbveu0A	fall	52	231571	0.634	0.402	0	-9.011	1	0.0313	0.849	7.36e-6	0.0678	0.247	85.003	audio_features	231572	4
k-pop	3eCd0TZrBPm2n9cDG6yWfF	DEAN	k-pop; korean pop; korean r&b	66	449290	2AA1f7utyvXpmtKsEvp5lz	dayfly	61	207112	0.726	0.492	10	-8.046	0	0.0794	0.566	8.14e-6	0.257	0.526	85.939	audio_features	207113	4
k-pop	3Nrfpe0tUJi4K4DXYWgMUX	BTS	k-pop	91	7553232	2AIWoHr9DF6y4KALCBKWQS	IDOL	81	222732	0.734	0.855	9	-3.211	1	0.118	0.00481	0	0.123	0.422	126.035	audio_features	222732	4
k-pop	2AfmfGFbe0A0WsTYm0SDTx	(G)I-DLE	k-pop	74	340750	2bSwPOwFskjLWMb09Ppqoo	What’s in your house?	50	207145	0.768	0.788	1	-6.04	0	0.0436	0.47	4.55e-6	0.133	0.729	122.008	audio_features	207146	4
k-pop	5DuzBeOgFwViFcv00Q5PFb	WINNER	k-pop; korean pop	65	987863	2CCyeyaPmGRpVxmRwu3HZo	FOOL	59	221793	0.649	0.601	4	-5.452	1	0.0347	0.721	0	0.108	0.522	140.031	audio_features	221793	4
k-pop	6gzXCdfYfFe5XKhPKkYqxV	SUPER JUNIOR	k-pop; korean pop	69	979619	2cRTwcRq1idIR9NrcYKb63	미인아 Bonamana	53	239186	0.79	0.911	11	-1.756	0	0.074	4.44e-4	0.0145	0.101	0.876	125.012	audio_features	239187	4
k-pop	6MoXcK2GyGg7FIyxPU5yW6	SUNMI	k-pop	67	426173	2dd0XiwTvP3uWk52zypX0o	곡선	53	217353	0.714	0.836	0	-5.518	0	0.0563	0.238	0	0.128	0.712	94.996	audio_features	217353	4
k-pop	5RR0MLwcjc87wjSw2JYdwx	MOMOLAND	k-pop	68	719478	2dzKsmPB4nL5KlUrPN34kL	Curious	46	196353	0.68	0.542	5	-4.062	1	0.0259	0.0197	1.63e-6	0.109	0.472	100.043	audio_features	196353	4
k-pop	1wKpMkucynaTfG8lyPprYV	PENTAGON	k-pop	66	350023	2eFxLz75W0KJSp8Sp8w2Dt	Runaway	58	205113	0.719	0.83	6	-2.933	0	0.0462	0.106	0	0.0425	0.605	93.027	audio_features	205114	4
k-pop	6MoXcK2GyGg7FIyxPU5yW6	SUNMI	k-pop	67	426173	2EK48RuuE8HHMDzD2rEDqL	Siren	74	199133	0.61	0.905	9	-3.686	0	0.0369	0.0142	0	0.0592	0.521	122.012	audio_features	199134	4
